"Program","Project ID","Project Name","Proponents","Authorized Representative Organization Name","Sectoral Scope","PUBLIC_VIEW_REPORTS_PROJECTS.pubReportsProjectsList.AFOLUActivities","Methodology","Estimated Average Annual Emission Reductions and Carbon Dioxide Removals","Sustainable Development Contributions","Validator","Region","Country","State/Province","Estimated Project Start Date","Crediting Period Duration Start Date","Crediting Period Duration End Date","Crediting Period Term","Project Registration Date","Status"
"Verified Carbon Standard","1107","Koprubasi 14.66 MW HEPP","Koprubapy Enerji Elektrik Uretim A.S.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","24081","","Bureau Veritas India Private Limited","Middle East","Turkey","Siran district","05 Mar 2013","05 Mar 2013","04 Mar 2023","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","1848","Korea - Myanmar Joint - Bago Region REDD+ Program, with North Zamari Wildlife Sanctuary","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","REDD","VM0006 (Version NA)","238397","","SCS Global Services","Asia","Myanmar","Bago Region","03 Jun 2016","03 Jun 2016","02 Jun 2046","1","","Registration requested"
"Verified Carbon Standard","1456","Koroglu Hydroelectric Power Plant","ETKEN Elektrik Uretim Ltd.Şti.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","13846","","Bureau Veritas India Private Limited","Middle East","Turkey","Province of Osmaniye","20 Jun 2014","20 Jun 2014","19 Jun 2024","1","06 Apr 2020","Registered"
"Verified Carbon Standard","5555","KOSHER BLUE CARBON - 2","Kosher Climate India Pvt. Ltd.","","Agriculture Forestry and Other Land Use","ARR","VM0033 (Version NA)","57316","","","Asia","India","West Bengal","01 Jan 2023","01 Jan 2023","31 Dec 2042","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","4607","KOSHER BLUE CARBON -1","Kosher Climate India Pvt. Ltd.","","Agriculture Forestry and Other Land Use","ARR","VM0033 (Version NA)","82879","","4K Earth Science Private Limited","Asia","India","West Bengal","01 Jan 2023","01 Jan 2023","31 Dec 2082","1","","Registration requested"
"Verified Carbon Standard","5394","Kowen Antami REDD+ Project","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","REDD","VM0048 (Version NA)","337066","","Preferred by Nature","Latin America","Peru","Oxapampa","13 Jan 2022","13 Jan 2022","12 Jan 2062","1","","Pipeline listing requested (under validation)"
"Verified Carbon Standard","713","KOYULHISAR HYDRO ELECTRICITY POWER PLANT","Aydem Yenilenebilir Enerji A.Ş.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 20)","116217","","TUV Rheinland (China) Ltd.","Middle East","Turkey","Central Anatolian geographical region","17 Nov 2009","17 Nov 2019","16 Nov 2029","2","06 Apr 2020","Registered"
"Verified Carbon Standard","645","KRC 3MW grouped small scale hydropower project","Korea Rural Community Corporation (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","7594","","Korean Standards Association (KSA)","Asia","Korea (Republic of)","","01 Aug 2011","01 Aug 2021","31 Jul 2031","2","14 Jul 2011","Late to Verify"
"Verified Carbon Standard","1999","KRISSANA WIND POWER IN THAILAND","Krissana Wind Power Co., Ltd","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 19)","143153","","Earthood Services Limited","Asia","Thailand","Nakhon Ratchasima","28 Dec 2018","28 Dec 2018","27 Dec 2028","1","11 Sep 2020","Verification approval requested"
"Verified Carbon Standard","3397","Kruger to Canyons Rangeland Restoration Project","Conservation South Africa","","Agriculture Forestry and Other Land Use","ALM","VM0032 (Version NA)","115281","","SCS Global Services","Africa","South Africa","Mpumalanga, Limpopo","04 Dec 2018","04 Dec 2018","03 Dec 2048","1","13 Aug 2025","Verification approval requested"
"Verified Carbon Standard","1347","KSAIL Bagasse Power Project","Kibos Sugar and Allied Industries Limited","","Energy industries (renewable/non-renewable sources)","","ACM0006 (Version NA)","45118","","Carbon Check (Pty) Ltd","Africa","Kenya","Kisumu","01 Jan 2015","01 Jan 2015","31 Dec 2024","1","20 Oct 2016","Registered"
"Verified Carbon Standard","4075","KSM Forest Carbon Project","Kluthe Sustainability Management, Ltd","","Agriculture Forestry and Other Land Use","IFM","VM0034 (Version NA)","39937","","TÜV NORD CERT GmbH","North America","Canada","NB","28 Nov 2019","28 Nov 2019","27 Nov 2049","1","","Rejected by Administrator"
"Verified Carbon Standard","4301","KSM Forest Carbon Project.","Kluthe Sustainability Management, Ltd","","Agriculture Forestry and Other Land Use","IFM","VM0034 (Version NA)","34811","","TÜV NORD CERT GmbH","North America","Canada","NB","30 Mar 2020","30 Mar 2020","29 Mar 2060","1","11 Aug 2026","Registered"
"Verified Carbon Standard","2609","KUAMUT RAINFOREST CONSERVATION PROJECT","Permian Malaysia SDN. BHD","","Agriculture Forestry and Other Land Use","IFM","VM0010 (Version NA)","543049","","Earthood Services Limited","Asia","Malaysia","Sabah","11 Dec 2015","11 Dec 2015","10 Dec 2045","1","13 Apr 2023","Registered"
"Verified Carbon Standard","5371","Kubu Peatland Project","Menggala Rambu Utama (PP)","","Agriculture Forestry and Other Land Use","REDD,WRC","VM0007 (Version NA)","601277","","Earthood Services Limited","Asia","Indonesia","Kalimantan Barat","01 Jan 2022","01 Jan 2022","31 Dec 2068","1","","Registration and verification approval requested"
"Verified Carbon Standard","5475","KUBURAYA MANGROVE: CONCESSION TO CONSERVATION PROJECT","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","IFM,REDD,WRC","VM0007 (Version NA), VM0011 (Version NA)","744902","","TÜV NORD CERT GmbH","Asia","Indonesia","West Kalimantan","01 Jan 2023","01 Jan 2023","31 Dec 2062","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","1168","Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","REDD","VM0006 (Version NA)","210421","","Det Norske Veritas Climate Change Services AS (DNV)","Africa","Malawi","","01 Oct 2009","01 Oct 2009","30 Sep 2039","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","986","Kumköy Hydroelectric Power Plant, Samsun","ENTEK ELEKTRIK URETIMI ANONIM SIRKETI (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 20)","49037","","TUV Rheinland Energie und Umwelt GmbH","Middle East","Turkey","Black Sea Region","03 Mar 2011","03 Mar 2021","02 Mar 2031","2","06 Apr 2020","Registered"
"Verified Carbon Standard","707","Kunming Dongjiao Baishuitang LFG Treatment and Power Generation Project","Kunming Huan Ye Project Development Co. Ltd.","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0001 (Version NA), ACM0002 (Version NA)","62403","","RINA Services S.p.A","Asia","Mainland China","Yunnan","23 Nov 2007","21 Nov 2008","20 Nov 2018","1","03 Nov 2011","Late to Verify"
"Verified Carbon Standard","2048","Kunming Shilin Grid-connected Solar Power Generation Project","Huaneng Shilin Photovolt Energy Development Co.,Ltd.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","105093","","LGAI Technological Center, S.A. (Applus+ Certification)","","Mainland China","Yunnan Province","01 Jan 2013","","","","","Withdrawn"
"Verified Carbon Standard","5032","Kupu-Kupu Project - Enhancing Livelihoods through Mangrove Restoration and Silvofishery in South Sulawesi","Vlinder Austria GmbH (PP)","","Agriculture Forestry and Other Land Use","ARR,WRC","VM0033 (Version NA)","1045496","","","Asia","Indonesia","South Sulawesi","17 Feb 2024","17 Feb 2024","16 Feb 2064","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","213","Kurl 3, Utilization of Coal-Mine-Methane","Carbon-TF B.V.","","Fugitive emissions from fuels (solid, oil and gas)","","ACM0008 (Version NA)","94132","","TÜV NORD CERT GmbH","","Germany","","01 Apr 2001","06 Apr 2020","05 Apr 2030","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","3847","Kuyucak Biogas Animal Manure Methane Recovery and Utilization Plant","Multiple Project Proponents","","Waste handling and disposal","","AM0073 (Version NA)","170553","","TÜV SÜD South Asia Private Limited","Middle East","Turkey","Aydın","14 Jan 2021","14 Jan 2021","13 Jan 2028","1","","Registration requested"
"Verified Carbon Standard","5142","KUZA MITI AGROFORESTRY CARBON PROJECT IN KENYA","One Carbon World Ltd. (PP)","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","84889","","","Africa","Kenya","","19 Sep 2023","19 Sep 2023","18 Sep 2122","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","1343","Kuzuko Lodge Private Game Reserve thicket restoration project","Spekboom Trading (Pty) Ltd","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","44206","","Aster Global Environmental Solutions Inc.","Africa","South Africa","","01 Jan 2014","01 Jan 2014","31 Dec 2067","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1025","KVSSSKL Co-generation Power Plant at Satara District, Maharashtra","M/s. Kisan Veer Satara Sahakari Sakhar Karkhana","","Energy industries (renewable/non-renewable sources)","","ACM0006 (Version NA)","13472","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Satara District in Maharashtra","31 Oct 2010","31 Oct 2010","30 Oct 2020","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","5432","Kwahu Landscape Restoration Project","AJA CLIMATE SOLUTIONS PTE. LTD. (PP)","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","751718","","Earthood Services Limited","Africa","Ghana","Eastern Region","01 Jun 2024","01 Jun 2024","31 May 2064","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","3425","Kwamisa/Other reserves community Forest Project","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version 2)","42252","","EPIC Sustainability Services Private Limited","Africa","Ghana","Ashanti Region","01 May 2019","01 May 2019","30 Apr 2059","1","06 Jan 2026","Registered"
"Verified Carbon Standard","4617","Kwango River Project, Democratic Republic of Congo","FRM Commitment (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","166669","","EPIC Sustainability Services Private Limited","Africa","Congo (Democratic Republic of)","","18 Apr 2023","18 Apr 2023","17 Apr 2053","1","","Registration requested"
"Verified Carbon Standard","5703","KwaZulu-Natal Sustainable Landscapes Program (KZNSLP)","Sayari Earth Limited (PP)","","Agriculture Forestry and Other Land Use","ALM","VM0032 (Version NA)","730524","","","Africa","South Africa","KwaZulu-Natal Province","01 Mar 2023","01 Mar 2023","28 Feb 2053","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","3646","Kúvay Macärö Vidi REDD+ Carurú -KUMAVI REDD+","RESGUARDO INDÍGENA ARARÁ, BACATÍ, CARURÚ Y LAGOS DE JAMAICURÚ","","Agriculture Forestry and Other Land Use","REDD","VM0015 (Version NA), VM0037 (Version NA)","300000","","","Latin America","Colombia","Vaupés","01 Jan 2017","01 Jan 2017","31 Dec 2046","1","","Inactive"
"Verified Carbon Standard","4206","Kütahya Landfill Gas to Electricity Project","Kütahya Biyokütle Enerji Üretim Sanayi ve Ticaret Anonim Şirketi","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0001 (Version 19)","71927","","LGAI Technological Center, S.A. (Applus+ Certification)","Europe","Turkey","Kütahya province","24 Jun 2021","24 Jun 2021","23 Jun 2028","1","04 Jul 2025","Registered"
"Verified Carbon Standard","386","La Cascada 2.3 MW Hydroelectric Project","Prestadora de Servicios Públicos La Cascada SA ESP","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","5139","","Colombian Institute for Technical Standards and Certification (ICONTEC)","Latin America","Colombia","Antioquia Department","17 Jul 2007","19 Jul 2007","18 Jul 2017","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1483","La Ferme - Bambous solar photovoltaic power plant","Sarako Pvp Co Ltd","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 16)","22226","","Carbon Check (Pty) Ltd","Africa","Mauritius","Eau Bonne, Bambous","18 Feb 2014","18 Feb 2014","17 Feb 2024","1","06 Apr 2020","Registered"
"Verified Carbon Standard","5398","La Florida Afforestation project with exotic and native species in Northeast Argentina","GMF Latinoamericana S.A. (PP)","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","15151","","AENOR CONFIA, S.A. (UNIPERSONAL)","Latin America","Argentina","Corrientes","01 Jan 2026","01 Jan 2026","31 Dec 2065","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","3902","LA GIOIA CARBON FARMING IN NORTHERN ITALY","Rivulis Pte. Ltd. (PP)","","Agriculture Forestry and Other Land Use","ALM","VM0042 (Version NA)","213","","RINA Services S.p.A","Europe","Italy","Alessandria","01 Jun 2022","01 Jun 2022","31 May 2047","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","1554","La Mina Hydropower Plant","Colbun S.A. (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 17)","97535","","AENOR CONFIA, S.A. (UNIPERSONAL)","Latin America","Chile","San Clemente","01 Jan 2017","21 Feb 2018","20 Feb 2028","1","06 Apr 2020","Registered"
"Verified Carbon Standard","5989","La Tigra Watershed Conservation ARR/ANR Reforestation Project","EP Carbon (PP)","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","67554","","","Latin America","Honduras","Francisco Morazán Department","01 Jun 2026","01 Jun 2026","31 May 2046","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","4056","La Yesca Landfill Gas Project","Veolia SU Chile S.A.","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0001 (Version 19)","100829","","Earthood Services Limited","Latin America","Chile","Requinoa","17 Mar 2023","17 Mar 2023","16 Mar 2030","1","22 Nov 2025","Registered"
"Verified Carbon Standard","1541","Lacandon – Forest for life REDD+ Project","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","REDD","VM0015 (Version NA)","238875","","AENOR CONFIA, S.A. (UNIPERSONAL)","Latin America","Guatemala","Peten","01 Feb 2012","01 Feb 2012","31 Jan 2042","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1326","Laguna Seca Forest Carbon Project","The Nature Conservancy (PP)","","Agriculture Forestry and Other Land Use","REDD","VM0007 (Version NA)","255935","","Aster Global Environmental Solutions Inc.","Latin America","Belize","","01 Jan 2011","01 Jan 2011","31 Dec 2040","1","11 Apr 2016","Registered"
"Verified Carbon Standard","1778","Lahendong Unit 5 & Unit 6 Geothermal Project","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 18.1)","181030","","TÜV SÜD South Asia Private Limited","Asia","Indonesia","North Sulawesi","15 Sep 2016","15 Sep 2016","14 Sep 2026","1","17 Jul 2018","Withdrawn"
"Verified Carbon Standard","2861","Laifeng County Jiulongpan domestic waste landfill pollution control and comprehensive utilization project","Henan BCCY Environmental Energy CO.,LTD. (PP)","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","AMS-I.D. (Version NA), AMS-III.G. (Version NA)","40612","","CTI Certification Co., Ltd.","Asia","Mainland China","Hubei Province","21 Oct 2021","21 Oct 2021","20 Oct 2031","1","30 Jan 2023","Registered"
"Verified Carbon Standard","2452","Laizhou Landfill Gas Power Generation Project","Laizhou Xinzhongshui Environmental Protection Technology Co., Ltd.","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0001 (Version 19)","78184","","CTI Certification Co., Ltd.","Asia","Mainland China","Shandong","18 May 2019","18 May 2019","17 May 2029","1","24 Jun 2021","Registered"
"Verified Carbon Standard","5931","Lake Alaotra Landscape Restoration Project","Conservation International Foundation","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","35061","","","Africa","Madagascar","Toamasina","17 Feb 2023","17 Feb 2023","16 Feb 2063","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","4408","Lake Victoria Watershed Agroforestry Carbon Project","Trees for the Future Inc. (PP)","","Agriculture Forestry and Other Land Use","ALM","VM0042 (Version NA)","530328","","Earthood Services Limited","Africa","Kenya","Nyanza Province","01 Sep 2020","01 Sep 2020","31 Aug 2060","1","15 Dec 2025","Registered"
"Verified Carbon Standard","5483","Lake Victoria Watershed Agroforestry Carbon Project II","Trees for the Future Inc. (PP)","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","500000","","","Africa","Uganda","","01 Apr 2024","01 Apr 2024","31 Mar 2064","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","2244","Lalpur wind farm in Gujarat","Tadas Wind Energy Private Limited","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 13)","99859","","Earthood Services Limited","Asia","India","Gujarat","30 Mar 2012","05 Dec 2012","04 Dec 2022","1","14 Jan 2021","Late to Verify"
"Verified Carbon Standard","4079","Lamaja Forest Carbon Project","Lamaja Forestry Holdings Ltd","","Agriculture Forestry and Other Land Use","IFM","VM0034 (Version NA)","17243","","TÜV NORD CERT GmbH","North America","Canada","NB","21 Aug 2021","21 Aug 2021","20 Aug 2051","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","5922","Lamantin - Community-based mangrove conservation and restoration in Guinea","Blue Coast Carbon (PP)","","Agriculture Forestry and Other Land Use","REDD,WRC","VM0007 (Version NA), VM0033 (Version NA)","80000","","","Africa","Guinea","Boké","01 Apr 2026","01 Apr 2026","31 Mar 2066","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","726","Lamas III-IV 37.3 MW Hydroelectric Power Plant Project, Turkey","TGT Enerji Üretim ve Tic. A.Ş.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 20)","69372","","Bureau Veritas India Private Limited","Middle East","Turkey","Mersin","05 Jun 2009","05 Jun 2019","04 Jun 2029","2","06 Apr 2020","Registered"
"Verified Carbon Standard","2958","Lanao del Sur Bamboo Reforestation Project","EcoPlanet Bamboo Group, LLC (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version 2)","315067","","TÜV NORD CERT GmbH","Asia","Philippines","Mindanao","01 Jun 2022","01 Jun 2022","31 May 2042","1","01 Dec 2023","Registered"
"Verified Carbon Standard","3420","Lancheng Water Management with Rice Cultivation","Yunnan Ruihan Agricultural Technology Development Co., Ltd.","","Agriculture Forestry and Other Land Use","ALM","AMS-III.AU. (Version NA)","56438","","China Classification Society Certification Company (CCSC)","Asia","Mainland China","Yunnan Province","12 Apr 2018","12 Apr 2018","11 Apr 2025","1","","Inactive"
"Verified Carbon Standard","4822","Land Life Reforestation and Restoration of Degraded Land in Australia - A","Land Life Company B.V. (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","6321","","TÜV NORD CERT GmbH","Oceania","Australia","","01 May 2022","01 May 2022","30 Apr 2122","1","","Registration requested"
"Verified Carbon Standard","4820","Land Life Reforestation and Restoration of Degraded Land in Colorado","Land Life Company B.V. (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","5988","","TÜV NORD CERT GmbH","North America","United States of America","CO","01 Sep 2022","01 Sep 2022","31 Aug 2122","1","","Registration requested"
"Verified Carbon Standard","4821","Land Life Reforestation and Restoration of Degraded Land in Portugal","Land Life Company B.V. (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","2000","","TÜV NORD CERT GmbH","Europe","Portugal","","03 Mar 2021","03 Mar 2021","02 Mar 2121","1","21 Apr 2026","Registered"
"Verified Carbon Standard","4741","Land Life Reforestation and Restoration of Degraded Land in Spain - A","Defined B.V. (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-AM0003 (Version NA)","1169","","TÜV NORD CERT GmbH","Europe","Spain","Spain","09 Nov 2020","09 Nov 2020","08 Nov 2120","1","","Registration requested"
"Verified Carbon Standard","4739","Land Life Reforestation and Restoration of Degraded Land in Spain - B","Land Life Company B.V. (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","1990","","TÜV NORD CERT GmbH","Europe","Spain","Valderrábano, Palencia","12 Oct 2020","12 Oct 2020","11 Oct 2120","1","23 Jan 2026","Registered"
"Verified Carbon Standard","4463","Land Life Reforestation and Restoration on Degraded Land in Australia","Land Life Company B.V. (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","4500","","TÜV NORD CERT GmbH","Oceania","Australia","Multiple","22 Jun 2020","22 Jun 2020","21 Jun 2120","1","25 Mar 2026","Registered"
"Verified Carbon Standard","5155","LAND MANAGEMENT BY ORGANIC FARMING PRACTICES IN INDIA","Qmark Foundation for Sustainable Livelihood Development","","Agriculture Forestry and Other Land Use","ALM","VM0042 (Version NA)","275749","","","Asia","India","Multiple states","21 Jun 2021","21 Jun 2021","20 Jun 2041","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","4331","LANDFILL GAS (LFG) CAPTURE AND COMBUSTION PROJECT OF AYDIN PROVINCE","Multiple Project Proponents","","Waste handling and disposal","","ACM0001 (Version NA)","215153","","Earthood Services Limited","Middle East","Turkey","AYDIN","30 Jun 2021","30 Jun 2021","29 Jun 2028","1","","Registration requested"
"Verified Carbon Standard","4332","LANDFILL GAS (LFG) CAPTURE AND COMBUSTION PROJECT OF MERSIN PROVINCE","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0001 (Version NA)","445743","","Earthood Services Limited","Middle East","Turkey","MERSIN","28 Jun 2021","28 Jun 2021","27 Jun 2028","1","","Registration requested"
"Verified Carbon Standard","3448","LANDFILL GAS COLLECTION AND UTILIZATION AT THE MARCA CARIACICA – II LANDFILL","MARCA CONSTRUTORA E SERVIÇOS LTDA","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0001 (Version 19)","410159","","LGAI Technological Center, S.A. (Applus+ Certification)","Latin America","Brazil","Espirito Santo","15 Oct 2020","15 Oct 2020","14 Oct 2027","1","30 May 2023","Registered"
"Verified Carbon Standard","1564","Landfill gas recovery and electricity generation at “Mtoni Dumpsite”, Dar Es Salaam, Tanzania - CER Conversion","Credits transferred from approved GHG program","","Waste handling and disposal","","ACM0001 (Version NA)","202271","","Det Norske Veritas Climate Change Services AS (DNV)","Africa","Tanzania, United Republic of","Dar Es Salaam","01 Jul 2007","01 Jul 2007","30 Jun 2017","1","","Units transferred from approved GHG program"
"Verified Carbon Standard","2333","Landfill Gas Recovery and Flaring Project in the El Verde Landfill, León - CER Conversion","Converted From a another GHG program CDM","","Waste handling and disposal","","ACM0001 (Version NA)","177705","","VCS Validation/Verification Body","Latin America","Mexico","","26 Oct 2007","27 Oct 2010","26 Oct 2017","1","","Units transferred from approved GHG program"
"Verified Carbon Standard","2667","Landfill Gas Recovery and Utilization Project in Linyi Municipal Waste Sanitary Landfill","Henan BCCY Environmental Energy CO.,LTD. (PP)","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","AMS-I.D. (Version NA), AMS-III.G. (Version NA)","25980","","","Asia","Mainland China","Linyi City, Shandong Province","21 Jun 2011","21 Jun 2011","20 Jun 2021","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","1440","Landfill Gas to Energy Facility at the Nejapa Landfill Site, El Salvador","Credits transferred from approved GHG program","","Waste handling and disposal","","ACM0001 (Version NA)","183725","","Det Norske Veritas Climate Change Services AS (DNV)","","El Salvador","El Salvador","01 Mar 2010","","","","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","402","Landfill-Gas-to-Energy Project at the Jiang Cun Gou Municipal Landfill","Veolia Environmental Services Energy Recovery Ltd","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0001 (Version NA), AMS-I.D. (Version NA)","109496","","Japan Consulting Institute (JCI)","Asia","Mainland China","Shaanxi","01 Jun 2009","01 Jun 2019","31 May 2029","2","28 Apr 2010","Late to Verify"
"Verified Carbon Standard","6101","LANDSCAPE RESTORATION THROUGH AFFORESTATION AND AGROFORESTRY FOR COMMUNITY BENEFITS BY MFI","Mangrove Foundation of India (PP)","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","73843","","","Asia","India","Tamil Nadu and Andhra Pradesh","15 Jul 2023","15 Jul 2023","14 Jul 2063","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","4893","Landscape-based approach towards the revitalization of degraded agro-ecology for livelihood generation of marginalized communities","Urvara Krsi Private Limited (PP)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","86785","","4K Earth Science Private Limited","Asia","India","Odisha & Maharashtra","04 Jan 2021","04 Jan 2021","03 Jan 2050","1","","Registration and verification approval requested"
"Verified Carbon Standard","5265","Langfang Jinye E-waste recycling and comprehensive utilization project","Langfang Jinye Environmental Protection Technology Co.","","Waste handling and disposal","","VMR0008 (Version NA)","58222","","CTI Certification Co., Ltd.","","Mainland China","","01 Apr 2023","01 Apr 2023","31 Mar 2030","1","24 Dec 2025","Registered"
"Verified Carbon Standard","4383","Lankao Geothermal Based Space Heating System","Lankao Green Energy Clean Energy Co., Ltd","","Energy industries (renewable/non-renewable sources)","","AM0072 (Version 3)","75508","","CTI Certification Co., Ltd.","Asia","Mainland China","Henan Province","15 Nov 2021","15 Nov 2021","14 Nov 2031","1","19 Apr 2024","Registered"
"Verified Carbon Standard","322","Lara Ceramic fuel switching project","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.C. (Version NA)","10275","","TÜV NORD CERT GmbH","Latin America","Brazil","Sao Paulo","01 Jan 2004","01 Apr 2006","31 Mar 2016","1","07 Apr 2020","Late to Verify"
"Verified Carbon Standard","1734","Large scale grid connected solar PV Project in Toujounine (Nouakchott)","SOMELEC","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 17)","34705","","TÜV NORD CERT GmbH","Africa","Mauritania","Nouakchott","07 Nov 2017","07 Nov 2017","06 Nov 2027","1","29 Jan 2019","Registered"
"Verified Carbon Standard","1644","Larimar Wind Farm Project","EMPRESA GENERADORA DE ELECTRICIDAD HAINA S.A. (EGE HAINA)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 17)","265391","","Colombian Institute for Technical Standards and Certification (ICONTEC)","Latin America","Dominican Republic","Barahona","01 Aug 2016","01 Aug 2016","31 Jul 2026","1","15 Jun 2017","Registered"
"Verified Carbon Standard","1888","Larimer County Landfill Gas Flaring Project","3Degrees Group, Inc..","","Waste handling and disposal","","Methodology Under Development (Version NA)","18637","","GHD Limited","North America","United States of America","CO","26 Oct 2009","26 Oct 2009","25 Oct 2019","1","23 Dec 2019","Late to Verify"
"Verified Carbon Standard","1348","Las Pizarras Project","Empresa Electrica Rio Doble","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 22)","37602","","AENOR CONFIA, S.A. (UNIPERSONAL)","Latin America","Peru","Santa Cruz Province, Cajamarca","30 Apr 2013","30 Apr 2023","29 Apr 2033","2","09 Sep 2014","Registered"
"Verified Carbon Standard","5185","LATICINIOS BELA VISTA/EMBRASCA BIOGAS PROJECT","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","AMS-I.C. (Version NA), AMS-III.H. (Version NA)","118459","","","Latin America","Brazil","Santa Catarina","05 Feb 2025","05 Feb 2025","04 Feb 2032","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","3682","Latvia Af/Reforestation Project","ECOBASE (PROJECT SPRUCE OÜ)","","Agriculture Forestry and Other Land Use","ARR","AR-ACM0003 (Version NA)","6118","","","Europe","Estonia","","01 Sep 2019","01 Sep 2019","31 Aug 2119","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","1089","Laurelbrook Farm Dairy Manure Advanced Separation Project","Laurelbrook Farm","","Waste handling and disposal","","AMS-III.Y. (Version NA)","2666","","First Environment, Inc. (First Environment)","North America","United States of America","CT","20 Jul 2010","20 Jul 2010","19 Jul 2020","1","06 Apr 2020","Late to Verify"
