,Project ID,Project Name,Country,Other Countries Involved,Methodology,Project Size,Investment Analysis Option,Barrier Analysis,Emission Factor Data Vintage,Emission Factor Weights,Validator,Estimated Emission Reductions,Actual Emission Reductions
0,IGES06570,Gansu Zhuoni Niuzi 30MW Hydropower Project,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,DNV-CUK,1605721.5616438356,696212.0
4459,IGES08771,China Resources Haiyang Dongfang Phase I Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,2156427.0,0.0
4460,IGES03187,Jiyuan MSW Landfill Site LFG Recovery to Power Project,China,Germany,AMS-ID; AMS-IIIG;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,GLC,305830.0,93178.0
4461,IGES02975,Hydroelectric Project in Kinnaur District in Himachal Pradesh,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,RWTUV,35419170.0,3589307.0
4462,IGES09083,Shandong Longjoin Zhaoyuan Wind Farm Phase I Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RINA,2049852.0,0.0
4463,IGES08590,Inner Mongolia China Water Group Huade Niujiafangzi Wind Farm 49.5MW Project,China,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,961590.0,230774.0
4464,IGES09199,China Resources New Energy Lufeng Chengmei Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,ERM-CVS,1765658.9999999998,0.0
4465,IGES08739,Inner Mongolia Erenhot 49.5MW Wind Farm Phase I Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,2250570.0,0.0
4466,IGES01696,Baltra Wind Project in the Galapagos,Ecuador,No Additional Countries,AMS-IF;,SMALL,None,done,N.A.,N.A.,DNV,187656.0,0.0
4467,IGES03208,Kalasin Wastewater Treatment to Energy Project,Thailand,United Kingdom of Great Britain and Northern Ireland,AMS-IC; AMS-IIIH;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,DNV,479304.0,0.0
4468,IGES08614,Ferrosilicon waste heat power generation project,China,Switzerland,ACM0012;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,JCI,1453680.0,605196.0
4469,IGES00574,Anning River Canyon Wind Farm (Phase I) Demonstration Project in Dechang County Sichuan Province,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,KFQ,626178.0000000001,0.0
4470,IGES04515,"VG Energy's Waste to Power at Vichitbhan Palmoil Co., Ltd.",Thailand,United Kingdom of Great Britain and Northern Ireland,ACM0014;,LARGE,Benchmark Analysis,done,ex ante,0.5:0.5,RWTUV,1231230.0,0.0
4471,IGES04680,Xiamen Eastern Municipal Solid Waste Incineration Project,China,Japan,AM0025;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,JCI,1818474.0,0.0
4472,IGES09038,Kulun Banner Eleshun Nanliangshaoruo Wind Power Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,2339421.0,0.0
4473,IGES08638,Jiangxi Leping Mining Administration Low Concentration CMM Utilization Project,China,Switzerland,ACM0008;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,CQC,1319669.9999999998,0.0
4474,IGES01168,13.75 MW Grid connected “Wind Electricity generation Project by Tamilnadu Newsprints and Papers Limited,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,284779.99999999994,50928.0
4475,IGES03385,"Luni, Iqu and Neogal Small Hydro Power Projects in Kangra District of Himachal Pradesh, India",India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,BVQI,455510.0000000001,0.0
4476,IGES08573,Chengbu County Laozhai Hydropower Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,RINA,1059639.0,0.0
4477,IGES08524,"Rubberflex Biogas Plant, Pahang",Malaysia,Switzerland,AMS-IC; AMS-IIIH;,SMALL,Benchmark Analysis,done,N.A.,N.A.,SIRIM,166089.99999999997,0.0
4478,IGES00674,Sunan bundled small hydropower project in Gansu Province,China,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,RWTUV,578760.0,11338.0
4479,IGES03951,"Rhodia Nuoc Trong Biogas Capture & Utilization Project, Vietnam",Viet Nam,France,AMS-IIIH;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,RINA,99010.0,0.0
4480,IGES02846,Heilongjiang Wanyuan Biomass Cogeneration Project,China,Finland,AMS-IC;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,DNV,939729.0,0.0
4481,IGES09154,Yunnan Zhilehe the 2nd and 3rd cascade Hydro Power Project,China,Germany,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,JCI,1063293.0,0.0
4482,IGES03697,Palo Viejo Hydroelectric Project,Guatemala,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,DNV,5426883.0,0.0
4483,IGES03831,"Pure-low Temperature Waste Heat Recovery for Power Generation (4.5MW) in Zhejiang Yunshi Cement Co., Ltd. of Zhaoshan Xinxing Group (ZSYS)",China,United Kingdom of Great Britain and Northern Ireland,AMS-IIIQ;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,DNV,244139.99999999997,0.0
4484,IGES03701,Pampeana and Terra Santa Small Hydropower Plants Project Activity,Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.5:0.5,RWTUV,529074.0,129225.0
4485,IGES08859,Fatima N2O Abatement Project,Pakistan,United Kingdom of Great Britain and Northern Ireland,ACM0019;,LARGE,None,N2O,N.A.,N.A.,RWTUV,4581140.0,3800654.0
4486,IGES00610,Putian Shijing Phase II Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,TUEV-RHEIN,527772.0,0.0
4487,IGES09380,Jiada Coal Mine CMM and VAM Utilization Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0008;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,CEC,1353860.0,0.0
4488,IGES08555,Thai Sritong Power Generation Project,Thailand,Switzerland,AMS-ID; AMS-IIIH;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,RINA,985350.7068493151,0.0
4489,IGES04177,Sichuan Heishui Deshiwo Erji 20.6MW Hydro Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,RINA,1376760.0,0.0
4490,IGES08830,Grid Connected Wind Energy Generation at Andhra Pradesh.,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,367380.00000000006,295538.0
4491,IGES02182,Dak Srong 3B Hydropower Project,Viet Nam,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,KEMCO,890505.0,0.0
4492,IGES03568,Nam Cat Hydropower Project,Viet Nam,Switzerland,AMS-ID;,SMALL,None,Micro,ex ante,0.5:0.5,KEMCO,213045.0,0.0
4493,IGES03856,Quilvio Cabrera Wind Farm Project,Dominican Republic,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex post,0.75:0.25,RWTUV,229677.0,0.0
4494,IGES03416,Malong River 3# Hydropower Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,RWTUV,701589.0,0.0
4495,IGES09623,Mengyin County Solar Cooker Project,China,"Netherlands, Kingdom of the",AMS-IC;,SMALL,None,done,N.A.,N.A.,CQC,1335329.9999999998,0.0
4496,IGES08403,Guohua Guyuan Pandaogou Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,ERM-CVS,2100168.0,38278.0
4497,IGES03657,Oaxaca II Wind Energy Project,Mexico,Spain,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,AENOR,2401590.0,1516362.0
4498,IGES08746,Shandong Muping Wind Farm Phase I Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,1618911.0,0.0
4499,IGES08745,Huaneng Shandong Penglai Daliuhang Wind Power Phase I Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,1995840.0,0.0
4500,IGES08743,Huaneng Shandong Rushan Wind Farm Phase II and Phase III bundle Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,2322096.0,0.0
4501,IGES08286,Switch from Single Cycle to Combined Cycle (CC) CDM Project at Sanandaj Power Plant,"Iran, Islamic Republic of",Switzerland,ACM0007;,LARGE,Benchmark Analysis,done,ex ante,0.5:0.5,BVQI,6936120.0,0.0
4502,IGES08285,Switch from Single Cycle to Combined Cycle (CC) CDM Project at Jahrom Power Plant,"Iran, Islamic Republic of",Switzerland,ACM0007;,LARGE,Benchmark Analysis,done,ex ante,0.5:0.5,BVQI,8970640.0,0.0
4503,IGES08284,Switch from Single Cycle to Combined Cycle (CC) CDM Project at Shirvan Power Plant,"Iran, Islamic Republic of",Switzerland,ACM0007;,LARGE,Benchmark Analysis,done,ex ante,0.5:0.5,BVQI,7833320.0,0.0
4504,IGES04835,Zhangjiakou Qiaodong District Heating Project,China,United Kingdom of Great Britain and Northern Ireland,AM0058;,LARGE,Investment Comparison Analysis,done,N.A.,N.A.,SGS,1655269.9999999998,0.0
4505,IGES02184,Dakrosa 2 Hydropower Project,Viet Nam,Switzerland,AMS-ID;,SMALL,None,Micro,ex ante,0.5:0.5,KEMCO,132972.0,0.0
4506,IGES01201,"2 * 1.5 MW + 0.60 MW Bundled Wind Power CDM Project in Tamil Nadu, India",India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,BVQI,76410.0,0.0
4507,IGES02270,El General Hydroelectric Project,Costa Rica,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,RWTUV,1386021.0,51304.0
4508,IGES09075,Everbright Zhenjiang Bundled Solar PV Power Generation Project,China,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,None,Specific small scale,ex ante,0.75:0.25,RWTUV,250194.0,9970.0
4509,IGES02779,Hangzhou II Landfill Gas Power Generation Project,China,Switzerland,ACM0001;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,RWTUV,2008170.0,383089.0
4510,IGES03116,Jiangsu Dongtai Phase II Wind Power Project,China,France,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,7098230.999999999,628247.0
4511,IGES03845,Qingyuan County Longjing Hydroelectric Power Plant Project,China,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,CEC,296625.0,0.0
4512,IGES00882,Istmeño Wind Farm,Mexico,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,12192999.0,0.0
4513,IGES03814,"PT Dalle Energy Batam CCGT conversion project, Indonesia",Indonesia,United Kingdom of Great Britain and Northern Ireland,ACM0007;,LARGE,Benchmark Analysis,done,ex ante,0.5:0.5,DNV,1573170.0,0.0
4514,IGES09272,Heilongjiang Jiamusi Jianshan Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,PJR CDM,2257983.0,0.0
4515,IGES00682,ZOOMLION GHANA LTD Composting of Municipal Solid Waste in Accra area,Ghana,United Kingdom of Great Britain and Northern Ireland,AM0025;,LARGE,None,done,ex ante,0.5:0.5,JCI,689020.0,0.0
4516,IGES01705,Baoji Lingyuan Landfill Gas Recovery and Utilization Project,China,Japan,AMS-ID; AMS-IIIG;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,TUEV-RHEIN,437100.0,0.0
4517,IGES04654,"Wind Power Project in Rajasthan, India by M/s Devki Builders Pvt. Ltd.",India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,SIRIM,102400.0,74599.0
4518,IGES03394,Luquan County Jiangbian Hydropower Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,TUEV-RHEIN,2819229.0000000005,0.0
4519,IGES08595,Inner Mongolia China Water Group Huade Erligetu Wind Farm 49.5MW Project,China,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,969530.0,236034.0
4520,IGES08594,Inner Mongolia China Water Group Huade Cheliwusu Wind Farm 49.5MW Project,China,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,951810.0000000001,223112.0
4521,IGES08565,"Methane Recovery and Utilization Project of Shandong Richeast Biotechnology Co., Ltd. in Wastewater Treatment",China,United Kingdom of Great Britain and Northern Ireland,AMS-IC; AMS-IF; AMS-IIIH;,SMALL,None,done,ex ante,0.5:0.5,RINA,709960.0,112256.0
4522,IGES03660,Oceanium mangrove restoration project,Senegal,France,AR-AMS0003;,SMALL,None,done,N.A.,N.A.,ErnstYoung,81119.99999999999,0.0
4523,IGES04213,Sichuan Mianning Changxing Hydropower Station Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,TUEV-RHEIN,2086306.2301369861,0.0
4524,IGES04734,Yichun xiaochengshan wind power Project,China,Austria,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV,2168921.9999999995,60250.0
4525,IGES08728,Dinh Hai rice husk cogeneration project,Viet Nam,Switzerland,AMS-IC;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,GLC,488145.0,0.0
4526,IGES09074,Everbright Suqian & Huaining Bundled Solar PV Power Generation Project,China,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,None,Specific small scale,ex ante,0.75:0.25,RWTUV,189693.00000000003,7892.0
4527,IGES08655,Sichuan Xiangcheng Mayi River Second Dieshui Hydropower Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,TUEV-RHEIN,1417521.0000000002,0.0
4528,IGES08501,Zhuzhou Landfill Site LFG to Power Generation Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0001;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,RWTUV,1056590.0,387877.0
4529,IGES08592,Inner Mongolia China Water Group Huade Heping Wind Farm 49.5MW Project,China,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,927430.0,237441.0
4530,IGES08589,Inner Mongolia China Water Group Huade Niujiacun Wind Farm 49.5MW Project,China,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,941930.0,236026.0
4531,IGES08254,Zhoushan MSW Incineration Power Generation Project,China,United Kingdom of Great Britain and Northern Ireland,AM0025;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,CQC,712080.0,0.0
4532,IGES03171,"Jinhanlazha hydropower station (58MW) of Niru River, Yunnan Province, P.R.China",China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,CEC,2065889.9999999995,76403.0
4533,IGES01318,"3MWp Grid Connected Solar Power Project at Yalesandra Village, Kolar District, Karnataka, India",India,No Additional Countries,AMS-ID;,SMALL,None,Specific small scale,ex ante,0.75:0.25,RWTUV,88620.0,16826.0
4534,IGES00792,Grid-connected Electricity Generation from Biomass at Buayai Bio Power.,Thailand,Denmark,AMS-IC;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,BVQI,572103.0,17565.0
4535,IGES04605,Wastewater Treatment and Methane Recovery at Green Field Joint Stock Company,Viet Nam,Switzerland,ACM0014;,LARGE,Investment Comparison Analysis,done,ex ante,0.5:0.5,SGS,1380090.0000000002,0.0
4536,IGES00657,Yugong River 24MW Hydropower Project,China,Sweden,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,LRQA,1521072.0,0.0
4537,IGES02824,Hebei Zhangbei Xishungou Wind Farm Project,China,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV,2140467.0,725367.0
4538,IGES03936,Renewable Wind Power generation for promoting energy security,India,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RWTUV,484300.0,327549.0
4539,IGES09127,Beiliu Kaidi Biomass Power Project,China,Switzerland,ACM0018;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,CEC,2532768.0,0.0
4540,IGES08980,Heilongjiang Mudanjiang Xiaoguokui Wind Power Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,983577.0,0.0
4541,IGES02306,Emission reductions through partial substitution of fossil fuels with alternative fuels at PT Semen Tonasa,Indonesia,United Kingdom of Great Britain and Northern Ireland,ACM0003;,LARGE,Investment Comparison Analysis,None,N.A.,N.A.,RWTUV,2962449.0,0.0
4542,IGES08471,Shanghai Lingang New City Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,DNV,499317.00000000006,0.0
4543,IGES08242,"BRT Metroplus Medellin, Columbia",Colombia,Switzerland,AM0031;,LARGE,None,done,N.A.,N.A.,SQS,2593059.0,0.0
4544,IGES04362,Taohe Shangchuan Hydropower Project,China,Germany,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,CQC,955206.0,0.0
4545,IGES02164,Da Dang 2 Hydropower Project,Viet Nam,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,JCI,1807449.0,212197.0
4546,IGES09368,Fumin Dafengyakou 33MW Wind Power Project,China,Australia,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CEC,1367877.0,0.0
4547,IGES08613,Fumeng Gulibengao Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,LRQA,1036560.0000000001,0.0
4548,IGES08558,PANAMERICANA SOLAR 20 TS: 20 MW Solar Photovoltaic Power Plant,Peru,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.75:0.25,TUEV-SUED,766773.0,0.0
4549,IGES03522,"MIO Cali, Colombia",Colombia,"Netherlands, Kingdom of the",AM0031;,LARGE,None,done,N.A.,N.A.,DNV,5085927.000000001,22323.0
4550,IGES08429,Huadian Inner Mongolia Tongliao Kailu Jieji Wind Farm Project,China,Sweden,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RWTUV,2249604.0,0.0
4551,IGES09393,Huadian Guyuan Yueliangshan Second Phase 49.5MW Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV,1891428.0,89140.0
4552,IGES03146,"Jiexiu City Guotai Green Energy Co., Ltd Biomass Power Generation Project in Shanxi Province",China,Japan,ACM0018;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,CQC,3210626.9999999995,0.0
4553,IGES04648,"Wind power project by TVS Energy Limited in Theni, Tamil Nadu",India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,BVQI,188630.00000000003,123181.0
4554,IGES03658,Oaxaca III Wind Energy Project,Mexico,Spain,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,AENOR,2317510.0,1539653.0
4555,IGES03691,"Orissa Lighting Energy Efficiency Project (OLEEP) in Nuapada & Kalahandi District Orissa, India",India,United Kingdom of Great Britain and Northern Ireland,AMS-IIJ;,SMALL,Simple Cost Analysis,done,ex ante,0.5:0.5,DNV,111160.0,0.0
4556,IGES00634,China Resources Weichang Yudaokou Yangbaishun 49.5 MW Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1984605.0,0.0
4557,IGES00843,"Methane Recovery Project of Tiancheng Corn Development Co., Ltd.",China,Multiple Additional Countries,AMS-IF; AMS-IIIH;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,RINA,352600.0,0.0
4558,IGES01233,2.75 MW Wind Power Project at Marudhar Fashions.,India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,BVQI,41470.000000000015,0.0
4559,IGES03315,Leak reduction in above ground gas distribution system in the gas distribution networks in Khorezm region and the Republic of Karakalpakstan,Uzbekistan,United Arab Emirates,AM0023;,LARGE,Simple Cost Analysis,done,N.A.,N.A.,SGS,2321840.0,0.0
4560,IGES01286,3 MW wind project by Shah Foils,India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,RWTUV,57690.0,0.0
4561,IGES02951,Hunan Daxing Small Hydropower Project,China,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,TUEV-RHEIN,400260.0,0.0
4562,IGES04193,Sichuan Keguang 1st Level Hydropower Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,CEC,799570.0,311016.0
4563,IGES01761,Biogas y Energía - Methane recovery & power generation from oil mill plant effluents,Honduras,No Additional Countries,AMS-ID; AMS-IIIH;,SMALL,None,done,ex ante,0.5:0.5,RINA,1030428.0,0.0
4564,IGES04489,"Utilization of LCV (Low Calorific Value) waste gas for energy generation project at Chanderiya, Rajasthan",India,No Additional Countries,AMS-IIIQ;,SMALL,None,done,N.A.,N.A.,BVQI,348669.99999999994,0.0
4565,IGES01495,Aberdare Range/ Mt. Kenya Small Scale Reforestation Initiative Kibaranyeki Small Scale A/R Project,Kenya,Canada,AR-AMS0001;,SMALL,None,done,N.A.,N.A.,JACO,272967.68493150687,0.0
4566,IGES09386,Heilongjiang Huanan Hengdaishan East (II) Wind Power Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV,898254.0000000001,0.0
4567,IGES09249,Guizhou Pan County Yingwudashan Small-scale Hydro Power Project,China,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,RWTUV,584430.0,0.0
4568,IGES02832,Heilongjiang Hailin Weihushan Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,2550996.0,0.0
4569,IGES09259,Ningxia Shizuishan 10MW PV (Photovoltaic) Plant Project,China,Germany,AMS-ID;,SMALL,None,Specific small scale,ex ante,0.75:0.25,CQC,312102.0,0.0
4570,IGES08544,20 MW Xuzhou Xiexin Photovoltaic Solar Power Plant,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,JCI,416115.0,0.0
4571,IGES00761,Gas-Steam Combined Cycle Power Plant (CCPP) Project of Laiwu Iron & Steel Group Corp.,China,Italy,ACM0012;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,TUEV-SUED,3949330.0,936347.0
4572,IGES08603,Ningxia Power Investment Group Taiyangshan Phase I Wind-farm Project,China,Sweden,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,ERM-CVS,1918014.0,0.0
4573,IGES08447,Fujian Zhangping Huakou Hydropower Plant,China,Japan,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,JCI,2002917.0,0.0
4574,IGES08439,Lintan Qingshishan Hydropower Station Expansion Project,China,Switzerland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,Applus,349902.0,0.0
4575,IGES08428,"Taiba N’diaye Wind Energy project, Senegal",Senegal,Ireland,ACM0002;,LARGE,None,done,ex ante,0.75:0.25,DNV,5614791.000000001,0.0
4576,IGES00636,Ziyang county Bamiaoliang and Xiaguantian Bundle small hydropower project in Shaanxi Province,China,Switzerland,AMS-ID;,SMALL,None,Micro,ex ante,0.5:0.5,JCI,534744.0000000001,0.0
4577,IGES08546,Jiangsu Huadian Guanyun Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV,3476499.495890411,0.0
4578,IGES04128,Shanxi Shuozhou Pinglu Dashantai Wind Farm Project (Phase I),China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,927654.0821917808,0.0
4579,IGES01515,AES Saurashtra Windfarms,India,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV,803849.9999999999,42946.0
4580,IGES03934,Renewable Energy Wind Power Project in Rajasthan,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,490014.2136986301,300628.0
4581,IGES04693,Xieka Hydropower Project in Jiulong County,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,RWTUV,8859354.668493152,0.0
4582,IGES09046,Global Sun Israel Solar PV Power Plant in Ketura,Israel,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RWTUV,445570.0,0.0
4583,IGES08468,Yunnan Lincang Qianxin Small Hydropower Project,China,Multiple Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,JCI,800561.9999999999,0.0
4584,IGES04463,"Use of agricultural waste instead of coal in our proposed boiler in Narol – Vatva Road, Ahmedabad, Gujarat, India",India,No Additional Countries,AMS-IC;,SMALL,Simple Cost Analysis,done,ex ante,0.5:0.5,LRQA,263992.3068493151,0.0
4585,IGES02950,Hunan Changsha Qiaoyi Landfill Gas Recovery and Electricity Generation Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0001;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,DNV,7513674.0,0.0
4586,IGES03832,Purmacana Hydroelectric Power Plant,Peru,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,Benchmark Analysis,done,ex post,0.5:0.5,AENOR,150444.0,0.0
4587,IGES00844,Low Temperature Waste Heat Generating Project of Zaozhuang Sunnsy Cement Corporation Limited,China,Japan,AMS-IIIQ;,SMALL,Benchmark Analysis,done,ex ante,0.5:0.5,TUEV-SUED,372371.99178082193,0.0
4588,IGES09114,Huaneng Tuokexun Baiyanghe Third Stage 49.5MW Wind Farm,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,LRQA,1976541.0,0.0
4589,IGES09031,Kangbao Zhaoyanghe Wind Farm Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CEC,2166495.610958904,40850.0
4590,IGES08921,Sichuan Yuexi County Tuanjie Hydropower Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.5:0.5,TUEV-RHEIN,1361283.0,0.0
